ROI,Trial,RMS,Mean,Std,Cardiac_Band_Power,Cardiac_Band_Fraction,Dominant_Freq_Hz
nose,T1,0.009516,-0.0,0.009516,1.08e-06,0.0314,1.097
nose,T2,0.036792,-0.0,0.036792,2.468e-05,0.0423,0.823
nose,T3,0.035698,-0.0,0.035698,1.635e-05,0.0307,0.823
forehead,T1,0.009476,-0.0,0.009476,7.8e-07,0.0347,0.823
forehead,T2,0.028211,-0.0,0.028211,1.664e-05,0.0307,0.823
forehead,T3,0.038904,0.0,0.038904,2.014e-05,0.0314,0.823
left_cheek,T1,0.010577,-0.0,0.010577,1.1e-06,0.0336,1.097
left_cheek,T2,0.033575,-0.0,0.033575,2.531e-05,0.0408,0.823
left_cheek,T3,0.038766,-0.0,0.038766,2.345e-05,0.029,0.823
right_cheek,T1,0.009493,0.0,0.009493,1.07e-06,0.0268,1.097
right_cheek,T2,0.023079,-0.0,0.023079,1.192e-05,0.0368,0.823
right_cheek,T3,0.025801,0.0,0.025801,4.353e-05,0.1091,0.823
