ROI,Trial,RMS,Mean,Std,Cardiac_Band_Power,Cardiac_Band_Fraction,Dominant_Freq_Hz
nose,T1,0.022261,0.0,0.022261,1.28e-06,0.0091,0.823
nose,T2,0.036824,-0.0,0.036824,1.564e-05,0.0388,0.823
nose,T3,0.031839,0.0,0.031839,8.67e-06,0.0373,0.823
forehead,T1,0.012588,-0.0,0.012588,3e-07,0.0121,1.371
forehead,T2,0.089339,0.0,0.089339,2.422e-05,0.0137,0.823
forehead,T3,0.073336,0.0,0.073336,2.267e-05,0.0106,0.823
left_cheek,T1,0.008335,-0.0,0.008335,5.9e-07,0.0265,0.823
left_cheek,T2,0.06813,0.0,0.06813,1.628e-05,0.0197,0.823
left_cheek,T3,0.068446,-0.0,0.068446,1.351e-05,0.0154,0.823
right_cheek,T1,0.014951,0.0,0.014951,6.9e-07,0.0222,0.823
right_cheek,T2,0.061127,0.0,0.061127,1.831e-05,0.0217,0.823
right_cheek,T3,0.091444,-0.0,0.091444,1.362e-05,0.0101,0.823
