time_T1_s,time_T2_s,time_T3_s,nose_T1,nose_T2,nose_T3,forehead_T1,forehead_T2,forehead_T3,left_cheek_T1,left_cheek_T2,left_cheek_T3,right_cheek_T1,right_cheek_T2,right_cheek_T3
0.0000,0.0000,0.0000,-0.038247,0.066566,0.028513,0.025575,0.154273,-0.134334,0.005347,0.148214,-0.044706,0.044501,0.162661,-0.118846
0.0285,0.0285,0.0285,-0.038316,0.066650,0.029332,0.025524,0.154363,-0.131586,0.005363,0.148332,-0.044465,0.044516,0.162697,-0.118410
0.0569,0.0569,0.0569,-0.038268,0.066800,0.027596,0.025480,0.154505,-0.133427,0.005370,0.148511,-0.045119,0.044501,0.162814,-0.120933
0.0854,0.0854,0.0854,-0.038324,0.067003,0.025883,0.025441,0.154623,-0.134176,0.005403,0.148812,-0.045202,0.044413,0.163018,-0.123066
0.1138,0.1138,0.1138,-0.038137,0.067262,0.024333,0.025427,0.154803,-0.132003,0.005458,0.149075,-0.044883,0.044360,0.163271,-0.125421
0.1423,0.1423,0.1423,-0.038231,0.067646,0.022860,0.025492,0.155033,-0.127943,0.005557,0.149574,-0.043787,0.044354,0.163743,-0.127738
0.1708,0.1708,0.1708,-0.037840,0.068310,0.020360,0.025505,0.155261,-0.124556,0.005642,0.150070,-0.042747,0.044368,0.164322,-0.131671
0.1992,0.1992,0.1992,-0.037897,0.068958,0.016523,0.025460,0.155525,-0.120824,0.005769,0.150649,-0.042187,0.044386,0.164885,-0.137506
0.2277,0.2277,0.2277,-0.038018,0.069448,0.011337,0.025469,0.155797,-0.118105,0.005904,0.151320,-0.041372,0.044400,0.165445,-0.144621
0.2561,0.2561,0.2561,-0.037654,0.070130,0.006892,0.025529,0.156084,-0.116359,0.006015,0.152031,-0.041393,0.044307,0.166007,-0.149758
0.2846,0.2846,0.2846,-0.038365,0.070702,0.002898,0.025867,0.156358,-0.113810,0.005940,0.152758,-0.040911,0.044453,0.166678,-0.158233
0.3131,0.3131,0.3131,-0.038060,0.071311,0.000171,0.026038,0.156741,-0.110336,0.006153,0.153635,-0.040388,0.044401,0.167206,-0.162235
0.3415,0.3415,0.3415,-0.038360,0.071942,-0.003322,0.026190,0.157122,-0.106108,0.006308,0.154732,-0.039230,0.044444,0.167676,-0.167075
0.3700,0.3700,0.3700,-0.038263,0.072663,-0.007724,0.026272,0.157524,-0.101689,0.006529,0.156011,-0.038704,0.044330,0.168033,-0.172288
0.3984,0.3984,0.3984,-0.038099,0.073318,-0.011091,0.026364,0.157926,-0.096930,0.006628,0.157444,-0.037287,0.044185,0.168351,-0.176191
0.4269,0.4269,0.4269,-0.038284,0.074064,-0.014486,0.026451,0.158338,-0.092189,0.006723,0.159082,-0.036402,0.043885,0.168587,-0.178760
0.4553,0.4553,0.4553,-0.038257,0.074873,-0.018471,0.026437,0.158739,-0.088778,0.006776,0.160833,-0.035556,0.043542,0.168835,-0.182824
0.4838,0.4838,0.4838,-0.038037,0.075864,-0.022201,0.026401,0.159120,-0.088053,0.006918,0.162806,-0.035197,0.043211,0.169167,-0.186095
0.5123,0.5123,0.5123,-0.037944,0.076670,-0.025355,0.026333,0.159407,-0.088379,0.006926,0.164725,-0.034843,0.042836,0.169531,-0.189786
0.5407,0.5407,0.5407,-0.037464,0.077559,-0.025906,0.026263,0.159747,-0.085525,0.007057,0.167139,-0.033912,0.042517,0.169976,-0.190405
0.5692,0.5692,0.5692,-0.036882,0.078612,-0.026024,0.026183,0.160125,-0.083487,0.007012,0.170142,-0.033264,0.042146,0.170554,-0.190968
0.5976,0.5976,0.5976,-0.036306,0.079901,-0.024830,0.026130,0.160544,-0.082047,0.007027,0.173665,-0.031905,0.041750,0.171151,-0.191197
0.6261,0.6261,0.6261,-0.035873,0.081466,-0.022345,0.026031,0.160993,-0.080701,0.007099,0.177910,-0.029950,0.041364,0.171856,-0.190827
0.6546,0.6546,0.6546,-0.035119,0.083379,-0.019266,0.025925,0.161530,-0.080042,0.007123,0.182740,-0.029099,0.041109,0.172534,-0.188447
0.6830,0.6830,0.6830,-0.034914,0.085444,-0.016987,0.025785,0.162086,-0.081104,0.007127,0.187932,-0.029627,0.040931,0.173204,-0.186736
0.7115,0.7115,0.7115,-0.034106,0.087733,-0.015431,0.025592,0.162619,-0.083142,0.007222,0.193378,-0.030005,0.040745,0.173642,-0.186510
0.7399,0.7399,0.7399,-0.033796,0.089948,-0.014311,0.025372,0.163082,-0.085920,0.007246,0.198709,-0.030502,0.040578,0.173974,-0.186656
0.7684,0.7684,0.7684,-0.033037,0.092305,-0.014358,0.025205,0.163476,-0.089692,0.007207,0.203526,-0.030528,0.040376,0.174172,-0.187588
0.7969,0.7969,0.7969,-0.032507,0.095066,-0.013595,0.024980,0.163869,-0.092305,0.007144,0.207714,-0.030877,0.040206,0.174338,-0.188844
0.8253,0.8253,0.8253,-0.031933,0.097810,-0.013066,0.024722,0.164234,-0.093850,0.007062,0.211575,-0.031146,0.040044,0.174385,-0.191458
0.8538,0.8538,0.8538,-0.031781,0.100807,-0.015514,0.024285,0.164555,-0.098406,0.007002,0.215021,-0.031642,0.039786,0.174450,-0.196095
0.8822,0.8822,0.8822,-0.031088,0.103538,-0.017982,0.023946,0.164738,-0.101964,0.006909,0.218188,-0.032526,0.039573,0.174550,-0.200656
0.9107,0.9107,0.9107,-0.030314,0.105802,-0.020544,0.023637,0.164830,-0.106371,0.006956,0.220781,-0.033659,0.039334,0.174823,-0.206295
0.9392,0.9392,0.9392,-0.029654,0.108250,-0.022935,0.023362,0.164830,-0.111020,0.006934,0.222772,-0.034332,0.039215,0.175377,-0.212403
0.9676,0.9676,0.9676,-0.029083,0.110832,-0.024297,0.023131,0.164758,-0.115605,0.006969,0.224131,-0.035939,0.039058,0.176286,-0.219041
0.9961,0.9961,0.9961,-0.028003,0.113142,-0.025235,0.022950,0.164682,-0.119738,0.007037,0.224727,-0.036721,0.038945,0.177688,-0.228516
1.0245,1.0245,1.0245,-0.027268,0.115034,-0.023338,0.022771,0.164568,-0.124251,0.006977,0.224761,-0.038332,0.038706,0.179374,-0.237205
1.0530,1.0530,1.0530,-0.026474,0.116755,-0.019378,0.022649,0.164492,-0.128113,0.006898,0.224394,-0.039721,0.038321,0.181361,-0.246264
1.0815,1.0815,1.0815,-0.025657,0.118313,-0.015378,0.022551,0.164525,-0.132232,0.006840,0.223843,-0.041867,0.037975,0.183551,-0.253498
1.1099,1.1099,1.1099,-0.024968,0.119753,-0.012800,0.022448,0.164510,-0.136214,0.006729,0.222665,-0.044058,0.037564,0.185896,-0.258474
1.1384,1.1384,1.1384,-0.024555,0.120878,-0.011941,0.022378,0.164430,-0.141630,0.006642,0.220861,-0.046364,0.037180,0.188349,-0.261286
1.1668,1.1668,1.1668,-0.024048,0.121801,-0.012080,0.022286,0.164179,-0.147386,0.006580,0.218260,-0.049674,0.036695,0.190818,-0.260437
1.1953,1.1953,1.1953,-0.023852,0.122280,-0.012083,0.022220,0.163845,-0.151969,0.006357,0.214667,-0.053552,0.036234,0.193355,-0.257557
1.2237,1.2237,1.2237,-0.023687,0.122585,-0.013882,0.022157,0.163338,-0.155764,0.006236,0.210415,-0.056432,0.035661,0.195871,-0.257301
1.2522,1.2522,1.2522,-0.023462,0.122630,-0.015469,0.022102,0.162664,-0.158737,0.006089,0.205465,-0.058303,0.035064,0.198519,-0.256412
1.2807,1.2807,1.2807,-0.023106,0.122368,-0.016696,0.022052,0.161907,-0.160787,0.005949,0.199979,-0.060688,0.034401,0.201291,-0.253752
1.3091,1.3091,1.3091,-0.022813,0.122042,-0.017298,0.022021,0.161145,-0.161650,0.005830,0.194377,-0.063244,0.033683,0.204199,-0.249232
1.3376,1.3376,1.3376,-0.022561,0.121697,-0.016339,0.021964,0.160336,-0.162258,0.005780,0.189141,-0.066023,0.032993,0.207200,-0.243837
1.3660,1.3660,1.3660,-0.022423,0.120978,-0.015104,0.021880,0.159454,-0.162662,0.005750,0.184426,-0.068476,0.032279,0.210335,-0.237096
1.3945,1.3945,1.3945,-0.022310,0.120353,-0.013077,0.021841,0.158609,-0.162762,0.005848,0.179839,-0.070764,0.031571,0.213488,-0.228890
1.4230,1.4230,1.4230,-0.021847,0.119645,-0.011459,0.021790,0.157701,-0.162405,0.005823,0.175408,-0.073027,0.030908,0.216579,-0.220156
1.4514,1.4514,1.4514,-0.021881,0.118989,-0.008683,0.021607,0.156789,-0.161596,0.005692,0.171167,-0.074821,0.030208,0.219578,-0.210654
1.4799,1.4799,1.4799,-0.021913,0.118498,-0.006540,0.021337,0.155900,-0.160678,0.005497,0.167120,-0.076261,0.029485,0.222499,-0.201010
1.5083,1.5083,1.5083,-0.022039,0.117697,-0.003586,0.021125,0.155046,-0.159618,0.005399,0.163448,-0.077737,0.028799,0.225258,-0.190226
1.5368,1.5368,1.5368,-0.021833,0.116709,-0.002063,0.020894,0.154291,-0.158138,0.005349,0.160301,-0.078778,0.028107,0.227830,-0.178151
1.5653,1.5653,1.5653,-0.021773,0.115786,-0.000533,0.020708,0.153524,-0.156297,0.005445,0.157658,-0.079586,0.027549,0.229926,-0.164124
1.5937,1.5937,1.5937,-0.021752,0.114992,-0.001755,0.020591,0.152776,-0.154043,0.005502,0.155461,-0.079981,0.027111,0.231644,-0.149444
1.6222,1.6222,1.6222,-0.021815,0.114198,-0.005283,0.020480,0.152079,-0.151222,0.005650,0.153491,-0.079921,0.026767,0.232953,-0.134507
1.6506,1.6506,1.6506,-0.021734,0.113684,-0.009066,0.020341,0.151600,-0.147833,0.005788,0.151800,-0.079331,0.026463,0.233977,-0.120065
1.6791,1.6791,1.6791,-0.021760,0.113362,-0.012360,0.020235,0.151110,-0.143693,0.006010,0.150376,-0.078386,0.026134,0.234806,-0.107840
1.7076,1.7076,1.7076,-0.021523,0.113122,-0.015194,0.020125,0.150748,-0.138699,0.006297,0.149182,-0.077097,0.025829,0.235694,-0.097651
1.7360,1.7360,1.7360,-0.021310,0.112911,-0.017520,0.019985,0.150403,-0.132677,0.006635,0.148106,-0.075001,0.025770,0.236714,-0.090306
1.7645,1.7645,1.7645,-0.020124,0.112778,-0.020510,0.019747,0.150045,-0.125967,0.007185,0.147234,-0.072390,0.026107,0.237749,-0.084385
1.7929,1.7929,1.7929,-0.018897,0.112537,-0.022591,0.019547,0.149774,-0.118382,0.007681,0.146447,-0.069326,0.026517,0.238918,-0.077997
1.8214,1.8214,1.8214,-0.017465,0.112452,-0.024409,0.019383,0.149571,-0.110260,0.008467,0.145886,-0.066026,0.027085,0.240119,-0.071223
1.8498,1.8498,1.8498,-0.016930,0.112695,-0.025492,0.019256,0.149460,-0.101817,0.009186,0.145342,-0.062372,0.027500,0.241404,-0.064247
1.8783,1.8783,1.8783,-0.016574,0.113179,-0.025810,0.019148,0.149421,-0.093308,0.009797,0.144924,-0.058705,0.027738,0.242603,-0.057172
1.9068,1.9068,1.9068,-0.016309,0.113604,-0.026042,0.019092,0.149443,-0.084659,0.010350,0.144436,-0.054928,0.027823,0.243850,-0.050019
1.9352,1.9352,1.9352,-0.015568,0.114065,-0.026076,0.019107,0.149523,-0.076049,0.010806,0.143833,-0.051125,0.027793,0.245045,-0.042707
1.9637,1.9637,1.9637,-0.015259,0.114479,-0.025796,0.019099,0.149539,-0.067506,0.011127,0.143211,-0.047429,0.027643,0.246338,-0.035472
1.9921,1.9921,1.9921,-0.015086,0.115021,-0.024979,0.019136,0.149607,-0.059185,0.011416,0.142605,-0.043776,0.027450,0.247695,-0.028371
2.0206,2.0206,2.0206,-0.014634,0.115493,-0.024121,0.019149,0.149648,-0.051074,0.011673,0.141970,-0.040490,0.027176,0.249041,-0.021453
2.0491,2.0491,2.0491,-0.014061,0.116154,-0.022996,0.019163,0.149806,-0.043160,0.011962,0.141350,-0.037238,0.026894,0.250288,-0.014535
2.0775,2.0775,2.0775,-0.013538,0.117041,-0.021726,0.019047,0.150078,-0.035479,0.012092,0.140586,-0.034078,0.026533,0.251262,-0.007516
2.1060,2.1060,2.1060,-0.013069,0.117913,-0.020070,0.018907,0.150332,-0.028097,0.012113,0.139741,-0.031085,0.026193,0.252017,-0.000637
2.1344,2.1344,2.1344,-0.012638,0.118788,-0.018887,0.018667,0.150673,-0.021091,0.012068,0.138934,-0.028272,0.025841,0.252710,0.006044
2.1629,2.1629,2.1629,-0.012178,0.119916,-0.017104,0.018392,0.151090,-0.014517,0.012108,0.137996,-0.025662,0.025504,0.253320,0.012460
2.1914,2.1914,2.1914,-0.011786,0.120970,-0.014990,0.018153,0.151511,-0.008446,0.012110,0.137102,-0.023288,0.025122,0.253915,0.018387
2.2198,2.2198,2.2198,-0.011334,0.122184,-0.012903,0.017996,0.151812,-0.002919,0.012200,0.136136,-0.021285,0.024791,0.254761,0.023727
2.2483,2.2483,2.2483,-0.010866,0.123515,-0.010714,0.017890,0.152260,0.002078,0.012232,0.135230,-0.019546,0.024489,0.255506,0.028192
2.2767,2.2767,2.2767,-0.010566,0.124743,-0.008923,0.017807,0.152605,0.006432,0.012294,0.134279,-0.018112,0.024240,0.255824,0.031765
2.3052,2.3052,2.3052,-0.010303,0.125831,-0.007112,0.017787,0.152971,0.010059,0.012261,0.133288,-0.017095,0.023808,0.255687,0.034535
